ab	Сара азба сакуеит. I have to go to sleep. Muiriel is 20 now. Сара акәац сфоит. Иуфазеи? Сыӡбалқәас рхы надырхәозеи аҧсуаа?
af	Een, twee, drie, vier, vyf, ses, sewe, ag, nege, tien. I have to go to sleep. Muiriel is 20 now. Ek kan nie raserige kinders verdra nie. Asseblief deel my sambreel. Ek kan nie nou aan sy naam dink nie.
am	በሒሳብ በጣም ጐበዝ ነው። I have to go to sleep. Muiriel is 20 now. ጤናማ ልጅ ነበርኩ። ምንም አያውቁም። የት መብላት ተፈልጋለህ?
ar	ويل للكافرين I have to go to sleep. Muiriel is 20 now. يعزف على البيانو بشكل جيد جداً مع كل احترامي. نظف أسنانك
az	Sabahınız xeyir, xanımlar vә cәnablar! I have to go to sleep. Muiriel is 20 now. Gün aydın! Nə var, nə yox? Hə.
be	Злучаныя Штаты мяжуюць з Канадай. I have to go to sleep. Muiriel is 20 now. Яго аргумент быў далёка не рацыянальны. Там хтосьці ёсць? Дайце мне бутэльку віна.
bg	Той си помисли, че това може да е номер. I have to go to sleep. Muiriel is 20 now. На 14 февруари американците празнуват Свети Валентин. Той би се хванал за всяка сламка. Чичо ми почина от рак на стомаха вчера.
bi	Olsem wanem? I have to go to sleep. Muiriel is 20 now. Mary i brekem leg blong hem. Hem i foldaon. Tom i sik tumas.
bm	Ɔwɔ. I have to go to sleep. Muiriel is 20 now. I ni baara! Aw ni baara! I bisimila!
bn	আমি জাপানি ভাষায় কথা বলি না। I have to go to sleep. Muiriel is 20 now. আমি বুঝতে পারছি না। অনুগ্রহ করে বিলটি দেবেন? আমি জানি না।
bo	སྔ་དྲོ་བདེ་ལེགས I have to go to sleep. Muiriel is 20 now. དགོང་དྲོ་བདེ་ལེགས ཁྱེད་རང་སྐུ་ཁམས་བཟང་ངམ། འདི་མོ་རང་གི་སྐྱོན་རེད།
br	Skrivañ a ran da Erwan Le Bourdonnec. I have to go to sleep. Muiriel is 20 now. Demat, penaos 'mañ kont ? Gall on. Yac'h on.
bs	Zdravo. I have to go to sleep. Muiriel is 20 now. Ko si ti? Zovem se Džek. Kako se ti zoveš?
ca	No passa una setmana que no li escrigui a la seva mare. I have to go to sleep. Muiriel is 20 now. No, gràcies. No l'entenc. Quina hora és?
ch	Taimanu masångan-ña "good bye" gi fino' Aleman? I have to go to sleep. Muiriel is 20 now. Håfa gi ofisina? Bai hu konne' hao guatu guihi. Todo taotao siha man mafanago libertao yan pareho gi dignidad yan derecho siha, man manae siha hinaso yan consiencia yan debe de ufatinas contra uno yan otro gi un espiritun chumelo.
co	Burj Khalifa hè actualmente u grattacelu u più altu di u mondu. I have to go to sleep. Muiriel is 20 now. Unu, dui, trè, quattru, cinque, séi, sétte, óttu, nóve, déce. Comu sè? À un di sti ghjorni.
cs	Miluju tě. I have to go to sleep. Muiriel is 20 now. Ahoj, jak se máš? Dobrý den, jsem Nancy. Ahoj? Jste stále ještě tady?
cv	Хĕвел анăç фронтĕнче улшăнусăр I have to go to sleep. Muiriel is 20 now. Эпӗ математика вӗренетӗп. Кӗнеке вулать. Манӑн икӗ кушак пур.
cy	Mae e'n byw yng Nghaerdydd. I have to go to sleep. Muiriel is 20 now. Dw i'n dod o Loegr. Dw i'n dy garu di. Mae'r car yn las.
da	Hvordan har du det? I have to go to sleep. Muiriel is 20 now. Han tror det er umuligt for mig at bestige bjerget alene. Jeg kan ikke lide æg. Folk som ikke synes at latin er det smukkeste sprog, har intet forstået.
de	Lass uns etwas versuchen! I have to go to sleep. Muiriel is 20 now. Heute ist der 18. Juni und das ist der Geburtstag von Muiriel! Herzlichen Glückwunsch zum Geburtstag, Muiriel! Muiriel ist jetzt 20.
