ab	Сара азба сакуеит. Сара ашә сфоит. Шьыжьбзиа! Сара акәац сфоит. Иуфазеи? Сыӡбалқәас рхы надырхәозеи аҧсуаа? Асааҭ шаҟоузеи? Иахьа шәахьоуп. Сара Лори сыхьӡуп. Абиблиотека абаҟоу? Сыцәар сҭахыуп. Сара цәыкьа сышьҭалоит. Сара исҳәоит. Сара сцоит. Иҭабуп! Дaба сыҧшаауeиҵ? Англыз бызшәа жәдыруама? Aиашьа дyмоумаҵ? Акәашара бзиa бoба? Cара yаҵәы аpахь caaуеит. Cаҟара cыцлеит. Уи cыҧcықәаpа ауп. Маҷк cааҧсеит. Бзиала шәаабеит Авикипедиахь. Сара ашколахь сцоит.
af	Een, twee, drie, vier, vyf, ses, sewe, ag, nege, tien. Alle menslike wesens word vry, met gelyke waardigheid en regte, gebore. Hulle het rede en gewete en behoort in die gees van broederskap teenoor mekaar op te tree. 'n Hond het agter die kat aan gehardloop. Ek kan nie raserige kinders verdra nie. Asseblief deel my sambreel. Ek kan nie nou aan sy naam dink nie. Jy mag nou maar gaan meneer. Haar toespraak was uitmuntend. Hy bly in 'n dorpie naby Osaka. Vra, en jy sal ontvang. Dis wat ek gekoop het in Spanje. Los volgende Saterdag middag oop asseblief. Ek sal graag 'n vraag wil vra Ek sal graag hierdie pakkie na Kanada toe wil pos. Jim is geneig om te vêr te gaan. Ek het baie hard geleer sodat ek die eksamen kan deur kom. Hoekom het jy Japan toe gegaan? Hul het hul seun John benoem. Wat wil jy hê? Sy broer is verlede maand oorlede. Van watse land is jy? Ek hou van die stadige ritme van daai liedjie. Sy het haar seun alleen in die kar gelos. Die boek gaan oor die koning wat sy kroon verloor. Hoekom het jy Japan toe gekom?
am	በሒሳብ በጣም ጐበዝ ነው። ባለፈው ሳምንት ከአሜሪካ አንዳንድ ማስታወሻ ላኩለት። ተቈጥቼ ነበር። ጤናማ ልጅ ነበርኩ። ምንም አያውቁም። የት መብላት ተፈልጋለህ? በውነት ያስፈራል። ቶም ብዙ ጊዜ ከውሻው ጋር ይናገራል። ዘግይቼ እትምሀርት ቤት ምን ጊዜም አልደርስም። እሱ ዛፍ ስር ተኝቷል። ሐኪም አይደለሁም። ነጭ ድመት አለኝ። አጸደ እጫወታለሁ። ተማሪ ነኝ። አስተማሪ ነኝ። አስተማሪ የለሁም። አንተ አስተማሪ ነህ። እሱ በጣም ጥሩ ሐኪም ነው። አንተ ተማሪ ነህ? ጤና ይስጥልኝ! መሄድ ይፈልጋል። ገንዘቡን አገኘሁ። ሁለት ድመቶች አሉኝ። አንተ ትልቅ ነህ። እኔ ትልቅ ነኝ።
ar	ويل للكافرين متى أنشئت هذه الجامعة؟ أراها نادراً يعزف على البيانو بشكل جيد جداً مع كل احترامي. نظف أسنانك أتمنى لك نومًا هادئًا يا تِمِي.‏‏ ما اسمُك؟ لو سمحت، أضعت طريقي.‏‏ عفوًا. عيد ميلاد سعيد!‏‏ ذهبت اليوم إلى الطبيب يتكلم بسرعة. إنه وسيم. إنه وسيم و ذكي. إنه وسيم جدا. هذه القلعة جميلة. إيطاليا بلد جميل جدا. طقس اليوم جميل. تعال إلى منزلي. منزلي كبير. أنظر إلى هذا المنزل. منزلك رائع. مرحباً بك في المنزل. إني في المنزل.
az	Sabahınız xeyir, xanımlar vә cәnablar! Sizә söz verirәm. Başınızdan çıxardın! Gün aydın! Nə var, nə yox? Hə. Bürc Xəlifə hal-hazırda dünyada ən hündür göydələndir. Salam! Siz necəsiniz? Haralısınız? Qəzetim harada? Tualetlər harada? Necəsən? Mətn nə haqqındadır? Bu günün tarixi nədir? Böyük sirr nədir? Qardaşın harada? Tom mənim dostumdur. Bu gözəl bir çiçəkdir. Dekabr ilin son ayıdır. Yanvar, fevral, mart, aprel, may, iyun, iyul, avqust, sentyabr, oktyabr, noyabr və dekabr ilin on iki ayıdır. Qış ayları dekabr, yanvar və fevraldır. Mən bir tələbə idim. Mən mühəndisəm. Saat səkkizdə məktəbə gedərəm.
be	Злучаныя Штаты мяжуюць з Канадай. Распаўсюджвайце эсперанта! Ты хацеў расказаць мне пра свабоду? Яго аргумент быў далёка не рацыянальны. Там хтосьці ёсць? Дайце мне бутэльку віна. Мідоры з’ела большую частку апельсінаў. Гэта самая абсурдная ідэя, якую я чуў. У мазгоў складаная структура. Я люблю гэтую кнігу больш за ўсё. Якая самая высокая гара ў Паўночнай Амерыцы? Нават японцы могуць памыліцца, калі размаўляюць па-японску. Я вельмі сумую па табе. Я прачнуўся і ўбачыў у пакоі злодзея. Адрамантуй гадзіннік. Усе людзi нараджаюцца свабоднымi i роўнымi ў сваёй годнасцi i правах. Яны надзелены розумам i сумленнем i павiнны ставiцца адзiн да аднаго ў духу брацтва. Адзін, два, тры, чатыры, пяць, шэсць, сем, восем, дзевяць, дзесяць. Я падрыхтаваў слабы водны раствор цукру. Я не ведаю, калі Боб прыехаў у Японію. Я не ведаю. Мяне завуць Джэк. «Кот?» — спытаў стары. Гэтая праблема сапраўды патрабуе рашэння, але гэта тое ж, што страляць з гармат па вераб'ях. За камаром не ганяйся з тапаром. Я вярнуўся ў Японію.
bg	Той си помисли, че това може да е номер. Най-накрая, автобусът спря. Искам да уча в чужбина догодина. На 14 февруари американците празнуват Свети Валентин. Той би се хванал за всяка сламка. Чичо ми почина от рак на стомаха вчера. Господине, забравили сте си запалката на масата. Тя повиши глас. Разчитаме на Пати, защото тя никога не нарушава обещанията си. Япония има много отличителни черти. Казват, че има заровено съкровище в тази област. Каква е тарифата от Осака до Акита? Идва му отвътре да говори на френски. Често чуваме да казват, че японците са добри работници. Бе обречен никога да не я срещне отново. Той нахлу в стаята с без да сваля палтото си. Баща ми е малко старомоден. Моля те, внимавай повече в бъдеще. В случай на спешност, свържете се с агента ми. Не толкова болестта го повали, колкото мързелът. Децата изглеждаха изморени от плуването. Не изпускай автобуса. Серия от взривове превърна лабораторията в руини. Той не каза нищо, което я ядоса. Стигнах до гарата, след като влакът тръгна.
bi	Olsem wanem? Nem blong mi Jack. Fren blong mi i helpem mi. Mary i brekem leg blong hem. Hem i foldaon. Tom i sik tumas. Tom i kilim mi. Tom hemi pasta. Mi wantem askem wan kwesten long yu. Mi sori. Yu go wea? Halo! Gudmoning! Gudnaet! Lukim yu! Yu kam wea? Mi wantem go long taon. Wanem ia? Wanem nem blong hemia? Hemia mane blong yu. Tankiu tumas! Hamas long hem? Yu kam blong mekem wanem? Mi go long taon. Mi wantem tokktok wetem yu naoia.
bm	Ɔwɔ. Ayi. I ni sɔgɔma! I ni baara! Aw ni baara! I bisimila! Aw bisimila! I tɔgɔ bɛ di? Nɛnɛ bɛ. Funteni bɛ. I ni cɛ! Aw ni cɛ! I ka kɛnɛ? N balemamuso sara kunun. Olu bɛ u ka sɛbɛnw mara. Mun na aw y'o kɛ? N bɛ furu sɔrɔ. N balemamuso yelemana Maroki salon. N te se ka na sisan, n'kono b'a la. N koroke kunsi bilennen don, a nyekise geren don. N bɛ nansarakan kalan lakɔli la. Kɔnɔ dɔ bɛ an ka so sanfɛ. Ne tun bɛ taa Farajɛla, nka wari bɛrɛ tun tɛ ne kun. Aw nana tuma jumɛn? Aw y'a don bilen ka fisa ni geren ye wa?
bn	আমি জাপানি ভাষায় কথা বলি না। আমি আমার মানিব্যাগ হারিয়েছি। টিকেটটি ভুলে যেও না। আমি বুঝতে পারছি না। অনুগ্রহ করে বিলটি দেবেন? আমি জানি না। এটি গুরুত্বপূর্ণ না। আমাদের কথা ভুলো না। জীবন সুন্দর। আপনি কী করছেন? আমি তোমাকে ভালবাসি। তুমি অন্যের ব্যাপারে অনেক নাক গলাও। আমার মনে হয় না কালকে বৃষ্টি হবে। শুভ কানাডা দিবস! আপনি কী খাবেন? ধন্যবাদ, এতেই হবে। এর দাম কত? আমরা শব্দের জন্যে ঘুমাতে পারছি না। এয়ারপোর্ট কত দুর এখান থেকে? সমস্ত মানুষ স্বাধীনভাবে সমান মর্যাদা এবং অধিকার নিয়ে জন্মগ্রহণ করে। তাঁদের বিবেক এবং বুদ্ধি আছে; সুতরাং সকলেরই একে অপরের প্রতি ভ্রাতৃত্বসুলভ মনোভাব নিয়ে আচরণ করা উচিৎ। আমি পরশু ঔঅরলিঅতে ফিব। আমি তোমার ভাষা বুঝি। ও জাপানি বলতে পারে। আমার সাথে আসুন একটা আম খেতে খুঁজছি.
